CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp
50.926413039618595,-39.8388675990282,-88.3066783805843,-570.517803595489,-252.01168562009101,-195.018074983614,127.448376869783,205.607579216943,3429,1,-1063,15606,4261,-840,744,981,678727,500,1.3559480000000002
218.620393449528,64.9948201697553,-96.8491893701721,-486.479618003796,-579.3551795053351,-398.352125807782,93.8700158451684,270.073811312323,3429,0,-1063,15606,4261,-840,744,981,678728,500,1.3559940000000001
-33.161773497297,-53.088607010897206,-13.8565656965366,-279.253516176133,-226.840665889758,-170.826702036546,-184.748038201185,5.78813266463112,3429,0,-1063,15606,4261,-840,744,981,678729,500,1.3560400000000001
-308.629577323445,-403.22572192119,-142.574007028015,116.195023606735,1147.82051420174,570.61219120177,-278.023941568681,-169.735239687143,3429,0,-1063,15606,4261,-840,744,981,678730,500,1.356085
-136.44069236514,45.0287108082557,446.81261348351796,1120.83591336312,1685.42945423577,868.5026149246839,-254.84955596900502,-182.0731505648,3429,0,-1063,15606,4261,-840,744,981,678731,500,1.35613
304.896015021688,675.501700835419,839.016008305014,973.0600684003149,1439.1491148668601,878.427526284009,32.3819405038375,98.9053077356657,3429,0,-1063,15606,4261,-840,744,981,678732,500,1.356176
444.573033880384,660.08984184335,790.034102922888,853.92259700672,918.632608937041,661.619883079198,115.288521419221,237.246596823563,3429,0,-1063,15606,4261,-840,744,981,678733,500,1.356227
335.045525565074,317.902020994341,439.53401159413596,703.445765388024,1033.62157742545,1033.80404417601,72.9369715391658,150.25808359193599,3429,0,-1063,15606,4261,-840,744,981,678734,500,1.356278
467.359232821356,527.529109946336,773.1161155779849,994.0563202267509,1071.60931571922,1092.24478365085,-109.00678644783301,246.205541954725,3429,0,-1063,15606,4261,-840,744,981,678735,500,1.3563260000000001
349.56572442848096,460.243743419996,745.747259516967,902.381450183515,981.8811048552741,634.1585556194191,-315.505335616937,222.689358893083,3429,0,-1253,15509,4459,-1740,250,530,678736,500,1.402271
