CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp
23.4207966211543,242.669555829954,326.580803450313,343.158787891589,229.612955021177,341.68108273379,17.6865312600858,43.223154217703296,3427,1,-1069,14871,4634,184,1880,704,678123,500,0.17150400000000002
-1821.5621486134803,-1013.0283929703301,301.318465166958,1097.22777575863,730.674584019114,804.898486225051,111.604545575567,-481.94523005245696,3427,0,-1069,14871,4634,184,1880,704,678124,500,0.17153500000000002
-3868.0204654869203,-3555.8070348663,-1542.19591418072,-74.10579109197721,493.05936936155194,1040.69431385188,374.27596349851194,-1046.2488246600801,3427,0,-1069,14871,4634,184,1880,704,678125,500,0.171567
-3503.7801486325297,-3505.80823882984,-1841.2027513362698,-293.706300332473,430.31021470291296,1037.98686787917,319.62867885438,-1284.47189273045,3427,0,-1057,14989,4657,351,1926,94,678126,500,0.1716
-510.523300951667,-497.913605848677,-349.647599199205,194.013157965499,208.33462767748298,400.268637343426,174.22662262682599,-291.399279207108,3427,0,-1057,14989,4657,351,1926,94,678127,500,0.171634
1896.8263611165698,1733.0912670539701,636.359313380439,348.691923521663,-283.163620954525,-467.00694350095,14.733546156843701,527.3028057372429,3427,0,-1057,14989,4657,351,1926,94,678128,500,0.17167000000000002
1383.23111865891,838.66059580713,-463.920306746615,-918.638025494787,-791.369180819776,-655.636317219702,303.423692802084,471.20113202545303,3427,0,-1057,14989,4657,351,1926,94,678129,500,0.171707
504.33418861575797,60.703621842432796,-383.783494842239,-377.387451717659,-391.869436199486,-103.530912859831,777.308616628405,423.731530376943,3427,0,-1057,14989,4657,351,1926,94,678130,500,0.171747
981.925446236011,438.248717264622,425.77115450613195,559.586128321447,51.3503669051861,-249.963453063159,-150.968269493897,510.993844797835,3427,0,-1057,14989,4657,351,1926,94,678131,500,0.17178600000000002
1144.4590121357198,1149.92938358174,1288.79928508494,1569.30542633522,621.201559220703,254.35875770845502,-387.92461826634803,227.472779523698,3427,0,-1057,14989,4657,351,1926,94,678132,500,0.171828
923.319416789163,1922.23983196856,1990.94382118457,2052.5871331723497,1072.6125953464698,549.648860938847,-375.45760130247805,185.982458645827,3427,0,-1057,14989,4657,351,1926,94,678133,500,0.17187000000000002
220.95071245482498,1117.6925068704902,984.935852889554,558.160557396302,1005.5713286652801,948.5544674749249,-105.75125400541599,11.840963763650501,3427,0,-1057,14989,4657,351,1926,94,678134,500,0.17192100000000002
106.69847832591,890.5775045872431,1123.3291077225,788.6365836104089,758.4659883698621,606.0754039641471,-293.550853324879,-150.188884330331,3427,0,-1057,14989,4657,351,1926,94,678135,500,0.171967
