CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp
63.3736442957306,14.1925389886601,25.921390040894,-86.8141117510677,-74.6964908496593,131.344497672981,-82.8364657189231,18.5629773414694,3429,0,-694,15216,4690,2009,-21,431,507664,500,5.416582
170.03736128588199,103.87565137946501,-23.363405166775898,-525.79811067399,-1495.5883760376598,-385.173731319373,12.650758548348698,115.852598411846,3429,0,-694,15216,4690,2009,-21,431,507665,500,5.416648
63.694452029798406,-26.189439969253698,-153.519018800347,-531.9686260038,-1522.3391401384101,-478.846968832309,23.470371268049302,74.7857520334655,3429,0,-826,15280,4894,1196,-731,720,507666,500,5.416701000000001
27.2455288655474,2.38263841590378,9.12441082461737,82.0564634645416,159.553733153793,289.252632724354,12.291531622817303,37.210046110791204,3429,0,-826,15280,4894,1196,-731,720,507667,500,5.416761
-48.499146590504104,5.75416322017554,48.4993736775359,99.11895203267339,557.385641551635,396.845179812633,60.876585922786,43.8269555136794,3429,0,-826,15280,4894,1196,-731,720,507668,500,5.416816000000001
248.36507545202002,530.8001559978579,664.747314545675,570.106528339878,713.7160128929539,225.823349063983,3.51542463770602,72.22193284798409,3429,0,-826,15280,4894,1196,-731,720,507669,500,5.416873000000001
139.045122003765,50.5536311076721,148.352791285259,327.642776861816,481.49885481782303,-188.52698145678698,-72.0107377227978,57.528395257191704,3429,0,-826,15280,4894,1196,-731,720,507670,500,5.416930000000001
-121.952045012964,-311.40431288851,-227.443159886054,43.475433722866,240.237738589116,-427.764967464958,-166.465843054873,-60.33352201443629,3429,0,-826,15280,4894,1196,-731,720,507671,500,5.4170050000000005
56.569476043398,-12.9574279654771,109.01003706269,378.977710336156,925.170317679062,176.71074309258302,-89.8042650037096,-17.721828563720898,3429,0,-826,15280,4894,1196,-731,720,507672,500,5.417065
162.303446397767,168.475936929928,436.288657267927,795.7376052515759,1332.2080406688601,780.587157960399,-4.15903735655593,37.2771344032371,3429,0,-826,15280,4894,1196,-731,720,507673,500,5.41713
150.442347265576,243.293624733458,600.4637581933059,1042.29997487416,1481.69892785884,735.9254956597,-193.857142307679,-53.4991393155651,3429,0,-826,15280,4894,1196,-731,720,507674,500,5.417199
173.504585124901,488.091817563167,1033.85784620105,1742.86571401416,2297.0623691085502,914.391855319613,-512.353234027105,-188.852044792031,3429,0,-826,15280,4894,1196,-731,720,507675,500,5.417268
196.27201889554297,331.32160657900397,817.851635424886,1565.08654042086,2088.53237134393,742.782487239689,-430.3471361993,-69.1019765812671,3429,0,-791,15349,5196,-564,-1420,991,507676,500,5.417341
392.65303574278397,368.28914817702,408.742769593489,367.89486559981003,390.91135735187004,173.801001898479,27.281607033568395,232.004700138699,3429,0,-791,15349,5196,-564,-1420,991,507677,500,5.417415
398.74822948887606,389.87440274574305,482.718708461034,511.296614723076,594.6425623572429,517.2208999373249,212.87048933812198,281.899283782928,3429,0,-791,15349,5196,-564,-1420,991,507678,500,5.417492
8.24689839899656,-32.036031692056,24.0976512954803,122.227015552402,312.845586978423,354.49006770108804,197.384162947012,49.92953608336389,3429,0,-791,15349,5196,-564,-1420,991,507679,500,5.417572000000001
-5.71713536774041,-224.089806409669,-542.084247563849,-933.76123062009,-1351.72069042909,-670.781780793914,351.020350871026,137.859690360026,3429,0,-791,15349,5196,-564,-1420,991,507680,500,5.417655000000001
93.7805114324728,-242.81209565733997,-852.7379290726969,-1901.0011298726897,-3038.17821484787,-1193.30698197917,541.480290690728,335.98596306703996,3429,0,-791,15349,5196,-564,-1420,991,507681,500,5.417751
-56.4046000306262,-435.19665718858596,-932.904615573701,-1711.29201276071,-2573.85808250541,-1206.4245468383901,401.604284616362,237.475989468163,3429,0,-791,15349,5196,-564,-1420,991,507682,500,5.417842
-108.318624121166,-354.862692393712,-746.7033383724049,-1149.2424655144,-1616.3746894191102,-1321.68683843594,110.422342949721,78.57460525678471,3429,0,-791,15349,5196,-564,-1420,991,507683,500,5.4179330000000006
-347.398152247188,-519.9795869591179,-737.69736084179,-1019.4900155109599,-1267.03253593168,-881.941224878072,-15.1470580582973,-87.2892453937093,3429,0,-791,15349,5196,-564,-1420,991,507684,500,5.4180340000000005
-126.35517941849,-179.184767189319,-144.452094857232,-75.45219953591,103.54296221846,405.975576569559,54.6327484014328,17.233102693106,3429,0,-791,15349,5196,-564,-1420,991,507685,500,5.418152
16.4076873183076,171.273744118516,481.140346281347,973.067912103957,2113.8651817894397,1765.24284366821,-214.334721526073,-81.2809768466977,3429,0,-606,15361,5213,-2550,-1463,130,507686,500,5.41826
