sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
-443.874918707501;-467.46068361029;-263.931269746739;-101.094745939365;-374.004299500113;-359.581130060484;80.2741213867557;-182.580859860172;3429;0;-881;15345;4382;-956;-147;-144;678020;500;13:30:14.570808
-598.363322672201;-455.988434557687;-347.306169963442;-197.957338932203;-358.446159024665;-330.949559679255;-55.3915353302727;-344.411694677197;3429;0;-881;15345;4382;-956;-147;-144;678021;500;13:30:14.570825
-84.0952740634093;-12.3619281254942;-281.558077919995;-684.144850420882;-601.442276069894;-353.343611852848;-41.2926542974892;-128.572008794989;3429;0;-881;15345;4382;-956;-147;-144;678022;500;13:30:14.570837
-49.26924474322;-291.759680738323;-227.551199599984;-592.829986354365;-296.807343282446;67.7666919348994;7.41290214122273;-76.4095443332335;3429;0;-881;15345;4382;-956;-147;-144;678023;500;13:30:14.570864
-57.6072738845251;-804.168531339383;-586.614528479404;-129.977333752817;270.359008922416;747.952095624874;210.534360887308;145.035135869868;3429;0;-881;15345;4382;-956;-147;-144;678024;500;13:30:14.570877
267.066084489168;-119.638918022509;269.212045056745;1516.61469165442;276.91540255968;559.029841403011;211.368012560008;252.409180340474;3429;0;-881;15345;4382;-956;-147;-144;678025;500;13:30:14.570895
915.610773490829;1678.28665237979;2041.50592309551;2503.60600657263;889.564287701331;373.438629793352;85.9771838961169;314.707617759239;3429;0;-761;15266;4325;-1407;525;39;678026;500;13:30:14.570908
535.443199745059;1037.89699504117;558.930966003798;-309.98709180599;339.79444473621;241.825204647612;8.85491607047152;160.572793993982;3429;0;-761;15266;4325;-1407;525;39;678027;500;13:30:14.570922
518.744492680533;837.743324778974;744.467041805387;584.453878748056;-40.1489094769931;-418.814655542723;5.23886864742963;195.180779939867;3429;0;-761;15266;4325;-1407;525;39;678028;500;13:30:14.570935
422.734262516227;665.893675647443;421.840112503851;108.257387362682;-169.89069137699;-698.533275030088;-115.594288717606;76.3120030768914;3429;0;-761;15266;4325;-1407;525;39;678029;500;13:30:14.570949
529.636901431659;487.220214167261;-4.09905584983062;-539.877276671148;-287.074406402709;-591.14534871967;-94.7957423651824;154.692661915557;3429;1;-761;15266;4325;-1407;525;39;678030;500;13:30:14.570966
392.709688088304;352.49622484704;167.553773034597;16.5735524946649;146.758203312434;-252.538642963977;-63.3219965415774;152.588745564222;3429;0;-761;15266;4325;-1407;525;39;678031;500;13:30:14.570984
320.08300674468;326.765414273366;187.994516051724;71.1892236180138;43.5131701493228;-30.4438205765327;37.3234344474622;191.24871368194;3429;0;-761;15266;4325;-1407;525;39;678032;500;13:30:14.571007
298.038031242875;318.236792722135;137.6166374397;-11.0231693794485;18.0741993267729;157.07883392903;47.2733934753342;157.868667725939;3429;0;-761;15266;4325;-1407;525;39;678033;500;13:30:14.571032
226.569343000534;297.877234753105;135.562291434733;22.0723462101014;114.189242937806;368.090979100554;27.2848561503924;89.124406414805;3429;0;-761;15266;4325;-1407;525;39;678034;500;13:30:14.571054
315.977405516198;323.472565983189;133.52828139218;-32.695967744221;-11.5121352027345;403.541748004733;74.1258624760667;190.171982420725;3429;0;-761;15266;4325;-1407;525;39;678035;500;13:30:14.571081
348.60676777194;323.891919798334;165.301806660602;-22.1855536832591;-89.930996016541;40.0417241666;42.8668086156831;209.456784542301;3429;0;-778;14938;4426;-762;700;112;678036;500;13:30:14.571100
394.727431703563;489.255212331889;480.883500549942;471.155170375423;315.593644175591;-360.657889586641;-54.5845701137441;201.661394516705;3429;0;-778;14938;4426;-762;700;112;678037;500;13:30:14.571121
318.025870608864;288.823144335765;248.926184632233;282.569187431043;152.587641802587;-333.997318597627;-13.6798650473356;179.049246228999;3429;0;-778;14938;4426;-762;700;112;678038;500;13:30:14.571144
