CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp
-21.7540682685794,-132.57992778357598,-282.731610756367,-283.035448337527,-576.214196287503,-301.701879086788,163.935638537339,94.43202313128859,3429,0,-372,14414,4900,634,275,-338,682771,500,9.455667
-25.1764406706498,107.59719191689501,-91.61288660066201,-472.043531393254,-1166.3476545772,-925.3364996559101,3.15428183873883,-27.8140778151574,3429,0,-372,14414,4900,634,275,-338,682772,500,9.455699000000001
116.53186943751601,496.813981278334,489.652554884553,199.923990030424,-138.203152481437,-460.94477172917703,-54.2572686338681,-44.189140288159294,3429,0,-372,14414,4900,634,275,-338,682773,500,9.45573
-41.6579046504339,75.2225758708082,18.2189592157956,-41.810605435195605,-508.174830784672,-433.62008810194703,7.30606216512388,-65.3267116228817,3429,0,-372,14414,4900,634,275,-338,682774,500,9.455762
-295.25773357832804,-722.705592230428,-973.0199527625231,-275.556089842983,-236.51506570703398,-118.433197602048,22.3879853684339,-90.17274289752821,3429,0,-372,14414,4900,634,275,-338,682775,500,9.455796000000001
-546.6728149805571,-1044.57401479036,-1196.5951008233199,131.61332047308701,1353.4440903592,973.906916150998,79.01803357002791,-117.686202478828,3429,0,-703,14559,4814,580,170,-150,682776,500,9.455831
-483.88423637926496,-483.910309199826,-606.434372902964,79.5508572433027,660.734738095169,714.985377280856,118.044108862581,-141.87022290949199,3429,0,-703,14559,4814,580,170,-150,682777,500,9.45587
182.336971005687,475.219392778003,366.92261039384204,170.241137994541,-95.89358112163609,128.351644084905,27.391185936343398,92.6273609674536,3429,0,-703,14559,4814,580,170,-150,682778,500,9.455908
497.388904627122,1160.99773555005,1548.72176091222,1381.73176505743,-459.48343224171504,-585.117092832224,-322.492278972291,34.019032476237,3429,0,-703,14559,4814,580,170,-150,682779,500,9.455953000000001
93.98343638636291,278.978737765225,253.19877060432898,-134.88804178781,-635.6654950998201,-713.28035963478,-139.320787718927,-28.827471482800302,3429,0,-703,14559,4814,580,170,-150,682780,500,9.455993000000001
54.3543448458076,24.0859874325106,-17.5034149109852,335.054359587491,364.985613483965,-279.342261077603,-50.849648205563405,21.4053012450458,3429,0,-703,14559,4814,580,170,-150,682781,500,9.456035
-28.506834245257803,-205.762233595247,-566.054629276739,-294.005849785375,-67.9307326978887,-447.05991420830804,-70.8059240734437,3.4351891180267597,3429,0,-703,14559,4814,580,170,-150,682782,500,9.456079
-33.813675527198896,-119.70199977338801,-368.386192728532,-239.451460840792,-437.800945999043,-694.152794573747,-100.44767441001,-45.1167848240584,3429,0,-703,14559,4814,580,170,-150,682783,500,9.456122
176.59002331682098,354.83676658128405,459.844627434504,599.490617339936,453.06018823167,358.70610532985296,-68.1030536815524,25.195127065293498,3429,0,-703,14559,4814,580,170,-150,682784,500,9.456166000000001
93.1916497306374,240.106588864233,110.062727023032,-496.95392890326895,185.99542351305698,391.738033602713,6.57141490204958,30.0344994779443,3429,0,-703,14559,4814,580,170,-150,682785,500,9.456213
-0.10012469967478,171.518304309575,107.486990282778,-178.504516919609,677.5055923524201,741.347159504774,-41.917688405083,-84.43729319178959,3429,0,-1036,14867,4897,369,-606,251,682786,500,9.487003000000001
88.6349390300165,223.02936282695703,114.87666478043,6.78814121303731,750.4465824105721,661.237935782992,-143.46192285599,-58.35179037787021,3429,0,-1036,14867,4897,369,-606,251,682787,500,9.487034000000001
-130.809182868135,-145.47251953184602,-339.922468464123,-406.48113697083295,594.879358775506,838.489700599341,-149.326565844996,-105.133227919112,3429,0,-1036,14867,4897,369,-606,251,682788,500,9.487062
-349.49528562737396,-286.767741071759,-284.205703917542,-22.557848943281,1009.65436511108,1349.38132338936,-262.436712034396,-302.37577696680097,3429,0,-1036,14867,4897,369,-606,251,682789,500,9.487085
-496.86826996749704,-460.074615684804,-366.310557254823,79.316745208198,916.374505731947,930.6497886464931,-222.080881874543,-361.993838801165,3429,0,-1036,14867,4897,369,-606,251,682790,500,9.487109
-372.082405198627,-420.525003552437,-559.66905810521,-816.8114828221151,-1561.76125913893,-1218.96396123775,7.58524374791887,-176.39161428471598,3429,0,-1036,14867,4897,369,-606,251,682791,500,9.487688
245.05165387681302,126.351566706551,-285.517716190894,-1252.5436549440199,-2877.0122149090503,-1794.4229312199698,325.807699086086,303.0361535548,3429,0,-1036,14867,4897,369,-606,251,682792,500,9.487719
-38.9084683331894,-259.777651492041,-676.6137490620599,-1382.67396396413,-2147.48951997198,-1094.60501916771,121.307908138202,98.73006000637541,3429,0,-1036,14867,4897,369,-606,251,682793,500,9.487747
