CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp
-598.363322672201,-455.988434557687,-347.306169963442,-197.957338932203,-358.446159024665,-330.949559679255,-55.3915353302727,-344.41169467719703,3429,0,-881,15345,4382,-956,-147,-144,678021,500,1.7e-05
-84.0952740634093,-12.361928125494199,-281.558077919995,-684.144850420882,-601.442276069894,-353.34361185284797,-41.29265429748921,-128.572008794989,3429,0,-881,15345,4382,-956,-147,-144,678022,500,2.9e-05
-49.26924474322001,-291.75968073832297,-227.55119959998402,-592.829986354365,-296.80734328244597,67.7666919348994,7.412902141222731,-76.4095443332335,3429,0,-881,15345,4382,-956,-147,-144,678023,500,5.6000000000000006e-05
-57.6072738845251,-804.168531339383,-586.614528479404,-129.977333752817,270.359008922416,747.952095624874,210.534360887308,145.035135869868,3429,0,-881,15345,4382,-956,-147,-144,678024,500,6.900000000000001e-05
267.066084489168,-119.638918022509,269.212045056745,1516.6146916544199,276.91540255968,559.029841403011,211.368012560008,252.40918034047402,3429,0,-881,15345,4382,-956,-147,-144,678025,500,8.7e-05
915.610773490829,1678.28665237979,2041.5059230955103,2503.60600657263,889.5642877013311,373.438629793352,85.9771838961169,314.707617759239,3429,0,-761,15266,4325,-1407,525,39,678026,500,0.0001
535.443199745059,1037.89699504117,558.930966003798,-309.98709180598996,339.79444473621004,241.825204647612,8.85491607047152,160.572793993982,3429,0,-761,15266,4325,-1407,525,39,678027,500,0.000114
518.744492680533,837.7433247789739,744.467041805387,584.453878748056,-40.148909476993104,-418.814655542723,5.23886864742963,195.180779939867,3429,0,-761,15266,4325,-1407,525,39,678028,500,0.000127
422.73426251622703,665.893675647443,421.840112503851,108.257387362682,-169.89069137699,-698.533275030088,-115.59428871760599,76.3120030768914,3429,0,-761,15266,4325,-1407,525,39,678029,500,0.000141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
